date,3.1,3.1.lower,3.1.upper,0.001,0.001.lower,0.001.upper,4,4.lower,4.upper,2.9,2.9.lower,2.9.upper,2.3,2.3.lower,2.3.upper,4.2,4.2.lower,4.2.upper,7,7.lower,7.upper,7.6,7.6.lower,7.6.upper
2020-03-15,2.092977469420471,2.041738671650637,2.145066431012132,2.7831695754928196,2.7150339815261453,2.8524356881189945,1.9194235132273043,1.872433540967283,1.9671931519928434,2.137693750022561,2.085360239819237,2.190895587723418,2.2857904995250973,2.229831389185604,2.3426780940051826,1.8865314618816458,1.8403467296166836,1.9334824999578573,1.5790929951482535,1.54043475452201,1.6183926606132208,1.5386241252952222,1.5009566149891418,1.5769166220552076
2020-03-16,2.0807587761295396,2.0354496349446007,2.1267353700689613,2.61726550170894,2.560273767013011,2.6750967864230493,1.951552016175592,1.9090563906157996,1.9946736483554957,2.112708990008523,2.0667041234141137,2.159391558146705,2.2151454173088045,2.1669099670444982,2.2640914280317874,1.9260633494426262,1.8841227471814825,1.9686217822291727,1.6708472281988727,1.6344640328811786,1.7077663874147246,1.6348606697506078,1.5992610924458222,1.670984667410957
2020-03-17,2.1648969022892612,2.1235414312463314,2.206785846126968,2.417934040946112,2.37174486625224,2.4647190417179123,2.0334902827233727,1.9946450386776542,2.072836618411436,2.1956747966752066,2.1537313833987715,2.2381592670195163,2.2867509695102477,2.243067751430915,2.3309976876016933,2.0066874875989216,1.9683542504836333,2.0455152116253976,1.732551195122495,1.6994547133895699,1.7660746112406915,1.6936983715295288,1.6613440853345696,1.7264700180167092
2020-03-18,2.1701563324380633,2.1333572979047686,2.207376127223843,2.4257961839649673,2.384662300562119,2.46740039229307,2.025858443114932,1.9915062475180367,2.060603421801821,2.204521065117309,2.167139312663794,2.24233024062146,2.307701931032187,2.2685705552030555,2.347280735109989,1.9968576636705533,1.9629972301961902,2.0311052574255766,1.7070274163710273,1.678081593480127,1.736304205872939,1.6668163838218493,1.6385524137326475,1.69540352421543
2020-03-19,2.090098923541866,2.058091128946657,2.1224368713081776,2.5715912274973216,2.532209855225672,2.61137880972821,1.9491441337555038,1.9192949221382942,1.9793012332479933,2.124406407577896,2.0918732278491246,2.157275159706745,2.2310391202706867,2.196872966175699,2.265557690527472,1.921186380273809,1.8917653139566646,1.950910918244176,1.644238780513676,1.6190588923469595,1.669678393539021,1.6059315759924588,1.5813383247164756,1.6307785011000562
2020-03-20,1.9189077941087087,1.8915844194356486,1.9464930294681746,2.3506841971873746,2.3172127478269715,2.3844764289112077,1.7989541925976604,1.7733388401690935,1.824815036436045,1.9480793641213798,1.920340614754598,1.9760839550262632,2.0394864954859897,2.010446197756263,2.068805108481965,1.7750502752755963,1.7497752913061861,1.8005674886449365,1.5346246422043668,1.5127730846620009,1.5566856198467587,1.5007713177486386,1.479401798515186,1.5223456373422806
2020-03-21,1.730489358214966,1.7070632873614247,1.7541287729387516,1.998839717961429,1.971780920612835,2.0261449428303098,1.642998510423108,1.620756825240405,1.6654427531421254,1.7512126992398278,1.7275060912926221,1.7751352059402403,1.81498780527462,1.7904178576336038,1.839781514200838,1.6250970678948236,1.6030977190541833,1.6472967672873704,1.4360507584544395,1.4166105771802033,1.4556679836528241,1.4081225893416993,1.3890604787359353,1.4273583007393789
2020-03-22,1.5482992201132595,1.527942201665254,1.5688362539719762,1.6676414343015236,1.6457153059396872,1.68976145358174,1.4926878726344648,1.473062031475602,1.512487263464454,1.560593930718211,1.5400752615715896,1.581294044739145,1.5959736339771042,1.5749897929421486,1.6171430333624564,1.4806400373367423,1.461172600963097,1.5002796226212534,1.3419029415654988,1.3242596187619884,1.3597022827962115,1.3198348873351873,1.3024817150279389,1.3373415122930785
2020-03-23,1.4559012533821665,1.4374340681254767,1.4745259348302122,1.4602539333442712,1.441731537099174,1.4789342966440575,1.4263284130348906,1.4082363405270848,1.4445747826093103,1.4614115826780942,1.4428745023844323,1.4801067552584006,1.474297684152935,1.4555971518238966,1.493157702758697,1.4191161690063439,1.4011155792459307,1.437270275628695,1.3220842355749816,1.3053144344318106,1.3389970568792184,1.3047932859734863,1.2882428095742247,1.3214849120369652
2020-03-24,1.406914649349746,1.389721013126647,1.4242495174315992,1.359463496810777,1.342849752093889,1.3762137100452483,1.3902792415484524,1.3732889034787208,1.4074091415465226,1.4089486557180069,1.3917301622901104,1.4263085851865531,1.4099081993275977,1.3926779794998296,1.4272799515189358,1.3854143681212163,1.3684834827439545,1.402484327070883,1.3082745404624911,1.2922863662409416,1.3243940446443876,1.2932515016026809,1.277446921080465,1.3091859040110305
2020-03-25,1.380650423156147,1.36441982469709,1.3970092293736611,1.3276910958304142,1.3120830746451329,1.3434224069495306,1.369643197038321,1.3535419969152007,1.3858715827844155,1.3814244459144005,1.3651847482276342,1.3977924232356915,1.3789747409373863,1.3627638414005052,1.3953136926281942,1.365945996498576,1.3498882597868862,1.3821305755096982,1.3002587800958663,1.284973246698965,1.3156650560506336,1.2867016529181619,1.2715754938884352,1.3019472955854245
2020-03-26,1.3455767467200324,1.3302563595269636,1.3610143134604555,1.3351126087397234,1.3199113635026158,1.3504301222547577,1.3363894697975105,1.3211736865521884,1.351721632516201,1.3462177134812787,1.3308900284072203,1.3616626339212803,1.3445843606527468,1.329275272509571,1.3600105419213393,1.3332343885374554,1.3180545282275196,1.3485303535605166,1.2746480930926358,1.260135281119118,1.2892719077918988,1.262200435643532,1.2478293494632335,1.2766814405453597
2020-03-27,1.3184558046129702,1.3039067584036277,1.333112676390385,1.322785507397421,1.3081886832908878,1.3374905111625177,1.3118093939741817,1.2973336903336017,1.326392379628018,1.3188653001481405,1.3043117351908486,1.3335267241627498,1.3179409361292667,1.3033975714492823,1.3325920842704995,1.3093910889430413,1.2949420710901254,1.323947191036097,1.2603097624187656,1.2464023527753316,1.2743202423476083,1.2493159472140147,1.2355298533741679,1.2632042122462817
2020-03-28,1.2735236677058785,1.2597603287040073,1.287386889891303,1.2799299811732976,1.2660974072869557,1.2938629406939914,1.268615384774689,1.2549050910075568,1.2824251767659602,1.273776506900996,1.2600104353927386,1.2876424814231284,1.2731692689656737,1.2594097600535974,1.287028633265609,1.2667216024838566,1.2530317753702507,1.2805107792911825,1.2250493341240793,1.2118098712800638,1.2383848782821723,1.2152931556192486,1.202159130621054,1.2285224967489072
2020-03-29,1.218495704205936,1.2054820064172478,1.231602725720692,1.2124715097185388,1.199522151136143,1.2255137306381982,1.2175192196609104,1.204515950858324,1.2306157374013027,1.21807167677744,1.2050625076586434,1.2311741371463432,1.2160889747181913,1.203100981123703,1.2291701077090347,1.2166062440496999,1.2036127259492717,1.229692941163776,1.1872397615717487,1.174559881448677,1.2000105715503,1.1794218929217692,1.1668255086859718,1.1921086082480035
2020-03-30,1.1654900040507452,1.1531133912002876,1.177954862267362,1.150181958039744,1.1379679049352447,1.1624830974578835,1.1696809085323376,1.157259791480144,1.1821905882660682,1.1639871686220407,1.1516265147349498,1.1764359540877314,1.1589647047991245,1.1466573856382654,1.1713597752614835,1.1699400161553137,1.1575161475782463,1.182452467032316,1.154378207446505,1.14211959338125,1.1667242255454695,1.1486779305910955,1.1364798491083035,1.1609629845097145
2020-03-31,1.1516991583808713,1.1396597143593787,1.1638230957074673,1.1147632612819935,1.1031099316917479,1.1264983744106472,1.160917231113325,1.1487814247129586,1.173138207093867,1.149084562163114,1.13707245017931,1.1611809756346756,1.1406930747183612,1.1287686842915392,1.1527011509995058,1.1622780467158202,1.1501280148442008,1.174513348002548,1.1592565704077187,1.1471381239502318,1.1714600646125999,1.155419579657195,1.1433412437051436,1.1675826818594919
2020-04-01,1.1260857204275845,1.114399617106324,1.1378532368467675,1.084855109383747,1.0735968821752162,1.0961917688231906,1.1352972932188063,1.123515595584043,1.1471610699244854,1.1234930459842407,1.1118338484845118,1.1352334691382058,1.1149882885136964,1.1034173502581088,1.126639837551455,1.1367034340050393,1.1249071439585137,1.1485819047828385,1.1354731154576179,1.1236895932043451,1.1473387294933017,1.1320854752957026,1.1203371087257221,1.1439156887304334
2020-04-02,1.107301024408687,1.0958999527933693,1.1187808963792787,1.0762515396848167,1.065170161983938,1.0874095081246378,1.1174310492999449,1.1059256762013772,1.1290159436504017,1.1047105366277572,1.0933361373770973,1.1161635518833175,1.0968198593366048,1.085526704639058,1.1081910685041483,1.119192097667873,1.1076685923377636,1.13079524957373,1.124228289303919,1.1126529299790555,1.1358836536018238,1.1220275802277224,1.110474880000276,1.1336601288161836
2020-04-03,1.0831652515609556,1.0720422190700813,1.0943649577235897,1.0696317561829063,1.0586476992625538,1.0806915287838155,1.0934627079712163,1.0822339308194422,1.104768887717499,1.0806639910355758,1.069566644008717,1.0918378346782665,1.0733585666111705,1.0623362390452067,1.084456873666227,1.0953677390855834,1.0841193991543068,1.1066936164621963,1.1039672933629587,1.0926306445411444,1.1153820883640038,1.1025487678070542,1.091226685835335,1.1139488955452903
2020-04-04,1.0464654396429622,1.0356531051316733,1.0573527682530635,1.0237400609136484,1.0131625305224086,1.034390956807826,1.057396660470171,1.0464713819363438,1.0683977164799041,1.0439551241443514,1.0331687268211165,1.0548163356666702,1.0369370186740492,1.0262231341172237,1.04772521448311,1.05955360768059,1.0486060430454942,1.0705771043674683,1.073187018428701,1.062098590089985,1.0843523558465467,1.072821921851213,1.0617372657788093,1.083983460838396
2020-04-05,1.0157390059082958,1.005162273771185,1.0263896743010377,0.9932372142683586,0.9828947897844897,1.0036519370888564,1.0288337752891925,1.0181206893571269,1.0396217506530596,1.0128358326482052,1.0022893308022822,1.023456059426024,1.0048421780835592,0.9943789129181566,1.0153785863179148,1.0315435816514553,1.0208022789276052,1.0423599710555485,1.0532955289254835,1.0423277265610371,1.064340001307551,1.0544254339272554,1.0434458660379304,1.0654817540806687
2020-04-06,0.996362243129773,0.9859182727702094,1.0068797106898695,0.9647534288961146,0.9546407853418707,0.9749372380095891,1.011127854836455,1.0005291098333633,1.021801186233425,0.9931108591418462,0.9827009701199002,1.0035940055242243,0.9840101060873422,0.9736956120844331,0.9943971861287051,1.0142451992222743,1.0036137778983056,1.0249514368927182,1.0421352663810841,1.03121149853682,1.0531359078977338,1.0444389403184335,1.0334910251296814,1.0554638991113272
2020-04-07,0.9721231580344609,0.9618087614422094,0.9825110331749584,0.936528183170667,0.9265914554821978,0.9465356989385292,0.9870019598776594,0.976529696597674,0.9975488263296074,0.9688920377346696,0.9586119238934603,0.9792453858978384,0.9598331183702152,0.949649121246574,0.9700896650916242,0.990206460363782,0.9797001967736294,1.000787569340108,1.020915401115451,1.0100833102973152,1.031824658474612,1.0239390895836193,1.013074916902425,1.034880657353258
2020-04-08,0.9479331197907134,0.9377218179699502,0.9582182844602167,0.9197292033720963,0.909821719085572,0.9297083528611675,0.9632142489932565,0.9528383361686247,0.9736652153706049,0.9447122246567592,0.9345356188832796,0.95496244230717,0.9359108342227441,0.9258290385706621,0.9460655559483429,0.966600367892499,0.956187979201206,0.9770880739825362,1.0016026135669414,0.9908131745463328,1.0124700973575862,1.0056242360823966,0.9947914754387146,1.0165353548605174
2020-04-09,0.9117713602791229,0.9017002643176626,0.9219171679959076,0.8883365872667679,0.8785243433137434,0.89822162269871475,0.9272070620118488,0.9169654688839332,0.9375246317169745,0.9085859567522381,0.898550045603542,0.9186963186400661,0.900023218504161,0.8900818882584699,0.910038297846848,0.9307012580417685,0.9204210692910261,0.9410577096887809,0.9690368421040122,0.9583332123869828,0.9798198759859471,0.9739245366039797,0.9631669191851163,0.9847619586919226
2020-04-10,0.8455931127739297,0.8358008181151687,0.8554615951936164,0.8187235100944448,0.8092423758068205,0.8282784111974666,0.8617199722213534,0.8517409223049586,0.8717766629253054,0.8423166949237073,0.8325623424484031,0.8521469399553809,0.8336065263867722,0.8239530410253939,0.8433351195201737,0.865433763880346,0.8554117068229553,0.8755337963371381,0.908548928072947,0.898027580771044,0.9191521354414419,0.91459755611503335,0.9040061633655332,0.925271353911235
2020-04-11,0.8338136991306311,0.8239233141890802,0.8437829187479411,0.7994617592497851,0.7899788441174552,0.8090202611812262,0.8545348836679203,0.8443987118176962,0.864751849322023,0.829591044259027,0.8197507468636498,0.8395097770903476,0.8182548340822609,0.8085490025544311,0.8280380292401203,0.8593293764203194,0.8491363340977461,0.869603665852206,0.917692988491452,0.9068076589222616,0.9286650832808223,0.9266345250018901,0.9156431342848086,0.9377135263355901
2020-04-12,0.8509832841694199,0.8407744724654749,0.8612744013462689,0.8056562325669231,0.795991186344055,0.815399200317103,0.8714497799331367,0.8609954421355794,0.8819884026838577,0.8467535846602656,0.8365955145004337,0.8569935512045683,0.8349551663583117,0.8249386357951906,0.8450524521854891,0.8761864146637538,0.8656752538792181,0.8867823185196898,0.9352761942825524,0.9240561636001259,0.9465866830866578,0.9446212715754163,0.9332891327749852,0.9560447723354986
2020-04-13,0.8186216452665794,0.8084062753531116,0.8289227121325492,0.7827693392026799,0.7730013610370498,0.7926192611420539,0.833790230255627,0.823385575453807,0.8442821699248483,0.8156968104557395,0.8055179388070088,0.8259610728722636,0.8080147832631026,0.797931773664822,0.8181823794404244,0.8374892704861447,0.8270384563083809,0.8480277567632828,0.8869415784124344,0.8758736615457022,0.8981023442659443,0.8951305645387415,0.8839604594108263,0.906394375912901
2020-04-14,0.7626419232712143,0.7525670166708982,0.7728063490174919,0.7675845604375089,0.757444358963819,0.7778148612254472,0.7768882256047973,0.766625117751664,0.7872425248392877,0.7601589706597945,0.7501168651878846,0.770290303827917,0.754628107275524,0.7446590674590878,0.7646857255737097,0.7805598195093174,0.7702482079422737,0.7909630534305515,0.8331796353228001,0.8221728879214023,0.8442841816087215,0.8424581469531177,0.8313288254639166,0.8536863564414209
2020-04-15,0.7388493386972314,0.7286468703446374,0.7491466017979461,0.7369233170043811,0.7267474442976631,0.7471937373496514,0.7554961209952111,0.7450637840338598,0.7660253884953679,0.7358815034366344,0.7257200167074055,0.746137404139202,0.7290016722633232,0.7189351863091381,0.739161689504988,0.7597553220752781,0.7492641715480874,0.7703439495989515,0.8221621698909158,0.8108092687246209,0.8336205548841933,0.83362968926531,0.8221184378138185,0.8452478958323861
2020-04-16,0.7338722462059002,0.7233568922962735,0.7444890167744395,0.6998987668783211,0.6898702049962139,0.7100240504921476,0.7503093010663112,0.7395584273506381,0.7611638629414132,0.7308925171818709,0.7204198585852287,0.7414661806570868,0.7235084156350899,0.7131415607958054,0.7339752549152472,0.7545301980259184,0.7437188448118369,0.7654458227015899,0.8185943457564621,0.8068650436898549,0.8304367725583083,0.8308163463996234,0.8189119203071235,0.842835586233149
2020-04-17,0.776634600522493,0.7654304506741807,0.7879475560980744,0.7472389046454296,0.7364588329688605,0.7581236637418087,0.7912915315743647,0.779875932929268,0.8028179893680455,0.7741570184007164,0.7629886114890891,0.7854338839328467,0.7683110617489172,0.7572269917626464,0.7795027713430375,0.7952523024427588,0.783779563579734,0.8068364553543869,0.8600657853050744,0.8476580121624903,0.8725940528000945,0.873066852976581,0.8604715194159038,0.8857845023262132
2020-04-18,0.7914412879104077,0.7797694409747966,0.8032290299853129,0.8015883961030227,0.7897669038362007,0.8135272694064951,0.7986629769840109,0.7868846275816077,0.8105582790377107,0.7907473570865793,0.7790857439541364,0.8025247637421754,0.7903877837503385,0.7787314734559037,0.80215983491360765,0.8011295692368668,0.7893148435578304,0.8130616087639898,0.8508097558581618,0.8382623674499577,0.863481733059842,0.8616687339085402,0.848961201808546,0.8745024449424201
2020-04-19,0.8134557426804635,0.8012926934780085,0.8257412579486931,0.8522219794005396,0.8394792850866413,0.8650929760516248,0.8158825524976,0.8036832168622612,0.8282047195558377,0.8141323254831991,0.8019591597993089,0.8264280590926576,0.8187917620406527,0.8065489269781713,0.8311578665086159,0.8175362842842644,0.8053122215248382,0.8298834274365274,0.8618512506009056,0.8489645763588456,0.8748676768705269,0.8724498022799777,0.8594046551194986,0.8856262970839305
2020-04-20,0.8615310950650756,0.8486941795489773,0.8744968058399464,0.924399532212821,0.9106258695254162,0.9383113887247347,0.8593819993644589,0.8465771056292375,0.8723153670777253,0.8633431605699349,0.8504792450628568,0.8763361422319222,0.8715400049587081,0.8585539554978818,0.8846563459680484,0.8601653212305511,0.8473487559066029,0.8731104776358537,0.8975455804536051,0.8841720448329783,0.9110532953464098,0.9075438815312037,0.8940213700384664,0.9212020669998875
2020-04-21,0.8807449489076216,0.8675051088330755,0.8941188194721624,0.9206565186938027,0.9068167060599494,0.9346364355025032,0.872103549488433,0.8589936116591081,0.8853462027721118,0.88399553331596,0.8707068286776506,0.8974187631134891,0.8960951055583815,0.8826245135284284,0.9097020640429239,0.8715153473920793,0.8584142517385703,0.8847490689881995,0.8943544300183568,0.8809100047757356,0.9079349568220862,0.9022261289054305,0.8886633719772185,0.9159261852984801
2020-04-22,0.8590152358808947,0.8457345778746567,0.8724342033961449,0.9095020127493407,0.8954408125717646,0.9237096512804812,0.8479660240404867,0.8348561904824793,0.8612123880807782,0.8627281151791347,0.849390054838085,0.8762050828375838,0.8759166106675264,0.8623746518496138,0.8895996002742966,0.8468119531713719,0.8337199619284801,0.8600402890803147,0.8630450960884153,0.8497021351182792,0.8765270154128499,0.8699551090376374,0.856505316995171,0.8835449720112909
2020-04-23,0.8173337963113065,0.8041618181395819,0.8306488312958105,0.8601581087972515,0.8462959830850363,0.8741707868028944,0.8089670435016323,0.7959299021442846,0.8221457772504962,0.8201398339194421,0.8069226342405558,0.8335005815480196,0.829758331987876,0.8163861226334151,0.8432757728045458,0.8081765388962673,0.7951521371435383,0.8213423946795763,0.826625400910923,0.81330368120946,0.8400918037219677,0.8338807527305258,0.8204421073174046,0.8474653511475015
2020-04-24,0.7871680304158821,0.7739595861600528,0.8005259043117139,0.7875447603739918,0.7743299947020748,0.8009090272012928,0.7834029998676075,0.7702577316989626,0.7966969829531745,0.7885230723582695,0.7752918909036861,0.8019039406831056,0.7925574180424598,0.7792585414732132,0.8060067473296564,0.7833197857220732,0.7701759138619166,0.7966123567024486,0.8076367398458241,0.7940848367641182,0.8213419581825004,0.8158871896355085,0.8021968464724963,0.8297324142524403
2020-04-25,0.779811397418399,0.7663125823607266,0.7934678132731987,0.753012991409591,0.739978066374238,0.7662001012528172,0.779145813634359,0.765658520070776,0.7927905734798069,0.7800949187326074,0.7665911958192688,0.7937562997430633,0.779801232832805,0.766302593727756,0.7934574706807068,0.7794797750997261,0.7659867005433642,0.7931303834319563,0.80697754288201,0.7930084721001239,0.8211097047708524,0.8158854423163154,0.8017621725993866,0.8301736034371135
2020-04-26,0.7809861759455426,0.7670860790090215,0.7950531867051549,0.7533870787011698,0.7399781942071645,0.7669569784876946,0.7806478495106319,0.7667537741534758,0.7947087663831219,0.780977982601138,0.767078031490862,0.7950448457834084,0.7792841567447805,0.7654143525747731,0.7933205109791588,0.7808962616223104,0.7669977649930001,0.7949616528580549,0.8064822343109975,0.7921283551006096,0.821008476409654,0.815232808330437,0.800723185227434,0.8299166645107195
2020-04-27,0.7871628013212446,0.7728024142672745,0.8016999949993993,0.7792679562147401,0.7650515965859356,0.7936593491866372,0.7857434189605286,0.7714089260164468,0.8002543997177393,0.7873592929779738,0.7729953212827595,0.8019001154318598,0.7864692945595738,0.7721215593045776,0.8009936806684498,0.7857064615400442,0.7713726428184507,0.8002167597736669,0.8079022429321775,0.7931635016059826,0.8228224492208986,0.816305094337924,0.8014130579140175,0.831380483110026
2020-04-28,0.7806281758885512,0.7659226462259422,0.7955207405254565,0.7923207133668059,0.7773949188431164,0.8074363443437984,0.7775156790801597,0.7628687828560485,0.7923488645384332,0.7812465838388163,0.7665294045628099,0.7961509462568622,0.7821130606111607,0.76737955858346385,0.7970339533848063,0.7771001186395998,0.7624610507729244,0.7919253761740387,0.794612819338214,0.7796438459575559,0.8097721783503815,0.8023559222306273,0.7872410837213689,0.8176630015837679
2020-04-29,0.750732868117653,0.7359023249040993,0.7657613378970869,0.7665909236206137,0.7514471084199026,0.7819368462757746,0.7472362760169563,0.7324748071205822,0.7621947496220545,0.751498215721961,0.7366525532546738,0.7665420065347884,0.753346242358746,0.7384640725796566,0.7684270277053711,0.7467246698059816,0.7319733075645075,0.7616729018740336,0.7622097009592047,0.7471524357348802,0.7774679185528716,0.7696101877029938,0.7544067276827358,0.7850165511899676
2020-04-30,0.7466745357262927,0.7314171836212768,0.7621426061529983,0.7573428951398514,0.7418675485698212,0.77303197073929375,0.7448450327056261,0.7296250641866681,0.7602752032439392,0.747057703523258,0.7317925218677299,0.762533711633901,0.7479952408067466,0.7327109017596627,0.7634906708904646,0.7446455178007008,0.7294296261171094,0.7600715551987326,0.7633373264988994,0.747739491286846,0.7791505824232268,0.7714832344848368,0.7557189479202733,0.7874652406107406
2020-05-01,0.7129899352789163,0.6975798509042676,0.7286253135820941,0.71086412864255,0.6954999900211435,0.7264528894700604,0.7106845339973861,0.6953242770137115,0.7262693564380001,0.7133877244103864,0.6979690424892984,0.7290318259552927,0.7140903981783513,0.6986565291395826,0.7297499088751155,0.7102926482484201,0.6949408612194503,0.7258688769044187,0.7250122910707854,0.709342363593215,0.7409113113576719,0.7323835382194381,0.7165542935693712,0.7484442048803234
2020-05-02,0.7069364293106768,0.6910289791346745,0.7230861528605428,0.6991579262464805,0.6834255075794051,0.7151299525255452,0.706080034657199,0.690191855033281,0.7222101941609503,0.707030541536233,0.6911209736513719,0.7231824150480509,0.7070219056296605,0.6911125320695616,0.7231735818571146,0.7059827291853529,0.6900967391245709,0.7221106657785212,0.72404049065452325,0.707748165697206,0.740580950698974,0.7322264172224943,0.7157498929317924,0.7489538819898466
2020-05-03,0.7369257318359064,0.7200413912084132,0.7540719814144506,0.7418324785617985,0.7248357152307495,0.7590928947386121,0.735059235360867,0.7182176596429206,0.7521620566629705,0.7371675320046759,0.7202776512850989,0.7543194076129036,0.7373401951933501,0.7204463584386323,0.7544960882025156,0.7346824216101073,0.7178494793967951,0.7517764754851336,0.7497266954877295,0.7325490609483531,0.7671707885369764,0.7577951746115207,0.7404326761923982,0.7754269991387159
2020-05-04,0.7489115077940479,0.7312633086620135,0.7668413953356042,0.7503433638589851,0.7326614228486387,0.7683075318434948,0.7424055562565449,0.7249106707364423,0.7601796830998022,0.7502511457292271,0.7325713778513544,0.768213105895218,0.7537823172140521,0.7360193368112216,0.7718288180860596,0.741064476712162,0.72360119390961,0.7588064964170393,0.7454094529531556,0.7278437802084983,0.763255496877932,0.7518718381060551,0.7341538783971043,0.7698725996948489
2020-05-05,0.7603216336120313,0.7419392791507173,0.7790051391020355,0.7978034959542224,0.7785149396317682,0.8174080492612129,0.7506951045216111,0.7325454913925825,0.7691420557677803,0.7625500390605502,0.7441138082697628,0.7812883035151699,0.7694376159883779,0.7508348637218495,0.7883451299758992,0.7487844505023422,0.7306810314021067,0.7671844509407473,0.7474888772619743,0.7294167813353567,0.76585704137128,0.7532578493452531,0.735046276538031,0.7717677753311445
2020-05-06,0.7849184794063293,0.7656373392167327,0.804520641579085,0.8379787276096289,0.8173941882633753,0.858905989926535,0.7726789440377834,0.7536984620738346,0.7919754421657903,0.7877868840013202,0.7684352828497669,0.8074606802781559,0.7967777277299126,0.7772052708807271,0.8166760568486443,0.7702267831749728,0.7513065373484112,0.789462042262025,0.7630294677927092,0.7442860205134045,0.7820849847192273,0.768071413903104,0.7492041136730363,0.7872528458741972
